"comments","likes","shares","text"
"41","2571","29","#OnThisDay in 2020, a terrific 115-run opening stand between Alyssa Healy and Beth Mooney was instrumental in Australia winning their fifth Women’s ICC T20 World Cup  title 🏆

Relive the carnage 📽️

#IWD2024"
"137","4613","24","Twin tons have put India on top at Lunch on Day 2.

#WTC25 | #INDvENG 📝: https://bit.ly/3Tv8i5a"
"491","28289","326","What a performance from Rohit Sharma and Shubman Gill 🙌

#WTC25 | #INDvENG 📝: https://bit.ly/49Y0Aq1"
"26","1969","18","Advantage Australia as batters persist despite loss of wickets.

#WTC25 | #NZvAUS 📝: https://bit.ly/3V74F6o"
"34","2809","21","A magical moment for Australia 💥

#cricket #cricketreels #T20WorldCup"
"25","861","1","Mitchell Starc is now up to fourth on the list for most Test wickets by an Australian Men's player 👏

#NZvAUS | #WTC25"
"1266","54057","263","The stocks continue to rise on Afghanistan batter Rahmanullah Gurbaz after he scored another ODI century 💥"
"16","794","7","India youngster Yashasvi Jaiswal has continued his record-breaking run with the bat during the fifth and final Test against England 😲

#INDvENG | #WTC25"
"103","15533","98","A morning to remember for two of New Zealand's best as Kane Williamson and Tim Southee celebrate their 100th Test 🤩

#NZvAUS | #WTC25

More 👉 https://www.icc-cricket.com/tournaments/world-test-championship/news/kane-williamson-a[…]e-from-u19-world-cup-teammates-to-100-test-matches-together"
"575","43180","109","Rahmanullah Gurbaz's century proved the difference as Afghanistan defeated Ireland in the first ODI in Sharjah 💥

Scorecard: https://www.icc-cricket.com/matches/239748/afghanistan-vs-ireland"
"35","1208","24","A memorable achievement for Tim Southee as the New Zealand captain registers his 100th Test appearance 💪

#NZvAUS | #WTC25

More 👉 https://www.icc-cricket.com/tournaments/world-test-championship/news/kane-williamson-and-tim-southee-from-u19-world-cup-teammates-to-100-test-matches-together"
"85","3773","49","A century of Tests for Kane Williamson 🙌

#NZvAUS | #WTC25

More 👉 https://www.icc-cricket.com/tournaments/world-test-championship/news/kane-williamson-and-tim-southee-from-u19-world-cup-teammates-to-100-test-matches-together"
"49","1276","11","Nathan Lyon has a plan to spoil Kane Williamson's landmark Test match 😯

More 👉 https://bit.ly/49Z9q6j

#WTC25 | #NZvAUS"
"115","4791","163","Happy birthday, Viv Richards 🎂

Rewatch him running out three batters in the 1975 Cricket World Cup Final 📽"
"115","4692","39","Yashasvi Jaiswal's stirring run in the #INDvENG Test series has seen him topple some major records 🌟

Details 👉 https://bit.ly/48JghzG

#WTC25"
"1223","35999","99","A Rahmanullah Gurbaz special in Sharjah 💥

#AFGvIRE 📝: https://bit.ly/4c2yR8V"
"88","2322","10","Harsh Thaker stole the show with a magnificent 105* against Scotland in #CWCL2👏

#CANvSCO | 📝: https://bit.ly/3Isbs32"
"29","3226","22","Back-to-back ODI tons for 🇨🇦's Harsh Thaker 💯💯

#cricket #cricketreels"
"50","1048","8","Records tumbled as Yashasvi Jaiswal continued his golden run during the #INDvENG series 👏

Details 👇

#WTC25

"
"33","2222","12","Baz knows ball 👀

#cricket #cricketreels"
"204","4201","35","India are firmly in control of the proceedings at the end of day one in Dharamsala 👊

#WTC25 | #INDvENG 📝: https://bit.ly/48LL52X"
"435","92804","305","Shaheen Afridi is just as lethal with the bat 🔥

#Cricket #CricketReels"
"396","15000","79","A top-class display of spin bowling from Kuldeep Yadav 👌

#WTC25 | 📝 #INDvENG: https://bit.ly/3wH9qtf"
"191","1964","23","Three-time ICC Umpire of the Year Marais Erasmus is set to officiate the final match of his career 🙌

More 👇"
"27","1298","10","So many ups and down in this thrilling finish between Ireland and Zimbabwe from the 2015 @cricketworldcup 😲

#cricket #CricketReels"
"82","15747","81","Tense finish to World Cup thriller 😲

Sit back and enjoy the exciting closing stages from this epic encounter between Ireland and Zimbabwe at Cricket World Cup 2015 👀"
"52","16326","96","We got a pretty good look at this Beth Mooney six 💥📹

#ICC #Cricket #CricketReels"
"219","30621","162","Ravichandran Ashwin celebrates a century of brilliance 🤩

➡ https://www.icc-cricket.com/news/landmark-milestone-for-ravichandran-ashwin-in-dharamsala

#WTC25 | #INDvENG"
"85","12656","35","A special 💯 for Jonny Bairstow 👏

✍: https://bit.ly/3Iucvj7

#WTC25 | #INDvENG"
"44","3766","20","Devdutt Padikkal is making his Test debut for India 🧢

#WTC25 | 📝 #INDvENG: https://bit.ly/3wH9qtf"
"122","5359","77","A milestone moment for Ravichandran Ashwin as he becomes the 14th man to play 100 Test matches for India 👏

#INDvENG | #WTC25

More 👉 https://bit.ly/3uQt4Tj"
"85","4090","44","Congratulations to Jonny Bairstow as he becomes just the 17th player from England to play 100 Tests for his country 🙌

#INDvENG | #WTC25

More 👉 https://bit.ly/3T9Jtdo"
"39","1689","11","Rohit Sharma has relished England's batting challenge, but feels their tactic is no different to others who try to attack 🏏

More 👉 https://bit.ly/3v24EGm 

#WTC25 #INDvENG"
"36","1630","15","A leader in his craft 🤝

Ricky Ponting's perspective of Ravichandran Ashwin ahead of his 100th Test match 👀

More 👉 https://bit.ly/3V44Uz5"
"10","374","3","Team news from Christchurch as New Zealand and Australia get set for the crucial second and final Test of their trans-Tasman series 🏏

#NZvAUS | #WTC25"
"79","7595","25","Hasan Ali throwing it down 💥🏏

#Cricket #CricketReels #ICC"
"886","79269","165","Najmul Hossain Shanto loves batting against Sri Lanka 💥

Relive Shanto's splendid 90 against their rivals at Cricket World Cup 2023 🙌"
"3","789","3","On the quest for 12 #WTC25 points, England have named their team for the final #INDvENG Test 👇"
"4","309","1","💪 New career-high rating for Cameron Green
📈 Glenn Phillips on the rise
💥 Kusal Mendis shoots up T20I batting list

All the latest from the ICC Men's Player Rankings 👇"
"27","1071","10","On the verge of his 100th Test appearance, New Zealand great Kane Williamson is still looking to improve as a player 🗣

More 👉 https://bit.ly/3Ve6oH0

#NZvAUS | #WTC25"
"197","2675","13","Josh Hazlewood and Nathan Lyon rise in the latest ICC Men's Test Player Rankings for bowlers 📈

✍: https://bit.ly/49IeOek"
"39","3961","38","Ricky Ponting lauds Ravichandran Ashwin ahead of his 100th Test 🌟

#cricket #cricketreels"
"108","2082","14","Mark Wood 🔁 Ollie Robinson

England have locked in their playing XI for the final #INDvENG Test 👉 https://bit.ly/48IigUM

#WTC25"
"4619","125287","721","A captain's knock from Najmul Hossain Shanto gives Bangladesh a series-levelling win 👊

#BANvSL 📝: https://bit.ly/49V7YCx"
"234","15161","59","Rohit Sharma sends a reminder about Rishabh Pant 😄

More 👉 https://bit.ly/3TpdRlm

#WTC25 #INDvENG"
"907","2310","17","England captain Ben Stokes is determined to finish the #INDvENG series on a positive note 👊

#WTC25 | ✍: https://bit.ly/438VCEe"
"23","580","3","On the eve of his 100th Test, Ravichandran Ashwin was showered with praise by Ricky Ponting on The ICC Review 🔎

#WTC25 | #INDvENG"
"35","2034","11","Chris Jordan on target! 💥

#cricket #cricketreels"
"37","1019","6","""I don't know exactly what this term means"" 💬

Rohit Sharma is unsure what Bazball is as the teams prepare for one final face-off in Dharamasala 👀

#WTC25 #INDvENG"
"273","11223","23","India gear up for the final #INDvENG Test 💪

#WTC25"
"29","1365","5","England ring in one change for the fifth and final Test against India in Dharamsala 🗒

#WTC25 | #INDvENG | More 👇"
"41","645","5","Aussie duo hot on Jasprit Bumrah's heels in the ICC Men's Test Player Rankings for bowlers after their heroics in the first Test against New Zealand 💪"
"22","396","3","Nathan Lyon plans to spoil Kane Williamson's 100th Test celebrations with a surprise weapon ⚡

#WTC25 | #NZvAUS

"
"55","631","1","England captain Ben Stokes is keen to end his side's Test series against India on a high 💪

#WTC25 | #INDvENG

"
"156","16482","74","Speed barriers broken and stumps smashed for Shabnim Ismail 👏"
"59","1404","10","A lesson every day playing international cricket 📚

Ravichandran Ashwin looks back at memorable moments and pays homage to key influencers on his road to 100 Test matches 🗣

More 📲 https://bit.ly/48Gh9VY"
"288","22779","199","Trademark MS Dhoni with the upper-cut six 😮

#cricket #cricketreels"
"89","2228","32","History in front of our eyes 🏏

Progress on the Nassau County International Cricket Stadium ahead of #T20WorldCup 2024 👀"
"108","1133","24","A historic day as Shabnim Ismail delivers the fastest delivery ever recorded in women's cricket 🤯

Details 👇"
"6","402","4","Schedule set for East Asia Pacific 📆

More on ICC tournament pathway events in the region for 2024 👇"
"83","578","5","Former Australia skipper Meg Lanning is open to exploring opportunities after the WPL 😯

Details ➡ https://bit.ly/3uXpJBL"
"22","569","2","Ravichandran Ashwin reminisces about the crucial moments that shaped his storied career as he gears up for his 100th Test 👏

#WTC25 | #INDvENG | Read on 👇"
"494","32514","748","Progression 👀 Nassau County International Cricket Stadium, New York 🏟️

#T20WorldCup #cricket #cricketreels"
"88","1388","10","Ready for the T20 World Cup in NYC? 👀

The Nassau County International Cricket Stadium in New York marked the one-month construction milestone 🏟

Details 👇

"
"145","3160","21","In the lead up to the #T20WorldCup 2024, Sri Lanka bank on experience over youth 👀

Read more ➡ https://bit.ly/3TmdyaR"
"308","10865","35","Timm Van Der Gugten's scintillating cameo helped Netherlands clinch the tri-series final against Nepal 👌

📸: Cricket Association of Nepal-CAN 

#NEPvNED 📝: https://bit.ly/49DqIGm"
"38","589","4","A blockbuster cricketing year awaits East Asia Pacific 🤩

#T20WorldCup #U19WorldCup

"
"61","2769","53","Beefy at his very best 👊

#cricket #cricketreels"
"188","6028","160","Ian Botham picked four wickets in the space of seven balls to help England to a magnificent victory over Australia in the 1992 ICC Cricket World Cup 👊"
"379","8917","25","Nepal have set Netherlands a big target of 185 in the tri-series final.

Can they defend it?

📸: Cricket Association of Nepal-CAN 

#NEPvNED 📝: https://bit.ly/49ua1wZ"
"29","619","6","Former Australia captain Meg Lanning is enjoying her time in the WPL with the Delhi Capitals and is in no hurry to decide what's next in her cricket journey 💪

More 👇"
"80","697","5","UAE search for their first win in the latest ICC Men’s Cricket World Cup League 2 cycle.

Watch #UAEvCAN LIVE and FREE on ICC.TV (in select regions) 📺

📝: https://bit.ly/4bYzj85"
"67","2434","12","⚠️ No cars are safe in the vicinity of a cricket stadium 😉

#cricket #cricketreels"
"233","67139","251","Shadab Khan into the stand with the upper-cut 💥

#cricket #cricketreels"
"153","2335","10","Will this tactic help Sri Lanka to success at this year's #T20WorldCup 🤔

Details 👇"
"233","1870","21","Three top-order batters from India, Sri Lanka and New Zealand have made the shortlist for the ICC Men's Player of the Month Award for February 2024 🙌

Vote now 👇"
"22","741","9","A pair of experienced performers return as New Zealand name their squad for their white-ball series against England at home that commences later this month.

More 👉 https://www.icc-cricket.com/news/experienced-duo-return-to-new-zealand-squad-for-england-series"
"18","245","2","An emerging superstar from Australia and a pair of in-form all-rounders from the UAE have been nominated for the ICC Women’s Player of the Month award for February 💥

Vote now for your favourite 👇"
"24","826","6","Australia head coach Andrew McDonald is not too worried about Marnus Labuschagne! 

More ➡️ https://bit.ly/49E4yUf

#WTC25 #NZvAUS"
"61","580","8","Three top performers from February 2024 have been shortlisted for the ICC Women’s Player of the Month award.

Who's your pick? 🧐 Vote now 👉 https://bit.ly/3Ip14t4"
"23","361","3","Two experienced players have returned to the New Zealand women's squad for the limited-overs series against England 👊"
"3485","79313","383","Sri Lanka survive Jaker Ali's onslaught to sneak in a win in Sylhet 💥

#BANvSL 📝:https://bit.ly/431Cs2Q"
"2623","28467","709","Nominees have been declared for the ICC Men's Player of the Month for February 2024 👊

Vote now 🗳👉 https://bit.ly/49XX6TW"
"46","2025","13","The excitement for #INDvENG builds in Dharamsala 🎨

#WTC25"
"244","9643","340","The one and only 👑

#Cricket #CricketReels #Reels"
"91","3555","70","The legend at his best 🙌

Throwback to Shane Warne's mesmerising spell from the 1999 Cricket World Cup final 📽"
"105","4296","18","Will we see these 🇮🇳 stars in the upcoming #T20WorldCup ⁉️

#Cricket #Reels #CricketReels"
"973","13326","35","The #BANvSL T20I series begins today in Sylhet 🏆

Who are you supporting?

📸: Bangladesh Cricket : The Tigers"
"24","431","3","Superstar from 🇦🇺
Sensational duo of 🇦🇪

Presenting the nominees for the ICC Women's Player of the Month for February 2024."
"1390","4602","48","🇮🇳 🇱🇰 🇳🇿

Revealing the ICC Men's Player of the Month shortlist for February 2024."
"48","765","3","Marnus Labuschagne's recent lack of runs is not causing too many headaches for the reigning ICC World Test Championship winners.

#NZvAUS | #WTC25"
"885","31184","603","The quintessential Javed Miandad 😆

#cricket #cricketreels"
"294","8304","33","Worth keeping an eye on this one ahead of June's #T20WorldCup 👀"
"164","2009","8","A new leader on the World Test Championship standings following Australia's emphatic victory over New Zealand in the first Test in Wellington 👀

#NZvAUS | #WTC25"
"116","18572","147","There's not much Jess Jonassen can't do 🔥

#cricket #cricketreels"
"8","788","7","Nothing but praise for Nathan Lyon following his 10-wicket haul for Australia in the first Test against New Zealand 💥

#NZvAUS | #WTC25"
"4","310","4","Two New Zealand players have been ruled out of the second Test against Australia due to injury as the Kiwis decided against a shock recall for recently-retired fast bowler Neil Wagner.

#NZvAUS | #WTC25"
"124","5081","34","A big statement from Pat Cummins 👀

More ➡️ https://bit.ly/3V1UoIz

#WTC25 #NZvAUS"
"103","1014","9","Injury to Will O'Rourke could pave way for Neil Wagner to return for the final Test against Australia 😲

#WTC25 | #NZvAUS | ✍: https://bit.ly/3uMlusP"
"824","31530","62","Bangladesh gear up for the all-format series at home against Sri Lanka, starting with T20Is on Monday 👊 

#BANvSL | 📸: Bangladesh Cricket : The Tigers"
"559","31515","800","Happy birthday, Inzamam-ul-Haq 🎂

Relive his sensational 37-ball 60 from the 1992 Cricket World Cup semi-final against New Zealand 📽"
"24","607","2","Italy secured the final Challenge League spot in a thrilling fashion with nail-biting victory over Vanuatu 🤩

How the action unfolded 👇"
"976","24518","180","🔝 India move to No.1
⤵️ New Zealand slip to No.2
💪 Australia strengthen their position

The latest changes in the ICC World Test Championship 2023-25 standings 👉 https://bit.ly/49XQepq

#WTC25 | #NZvAUS"
"35","2941","12","Scotland record a comprehensive win over UAE in their #CWCL2 clash 💥

📸: @CricketScotland | 🔗: https://bit.ly/49YFK9d"
"44","1787","10","Australia captain Pat Cummins has his say on Nathan Lyon's Test future 👀

#WTC25 #NZvAUS"
"43","607","2","One last dance for Neil Wagner in the final #NZvAUS Test? Skipper Tim Southee didn't rule it out 👀

#WTC25 | Read on 👇"
"30","1602","30","Italy have sealed the final ICC @cricketworldcup Challenge League spot 🙌

#reels #cricket #cricketreels"
"166","4172","36","Italy grab the final ICC Men’s Cricket World Cup Challenge League spot with a thrilling win over Vanuatu 💥

#VANvITA | 📝: https://bit.ly/49y5BFx"
"40","682","7","Nathan Lyon joined a few record books with a sizzling spell as Australia clinched a resounding victory in Wellington 👏

#WTC25 | #NZvAUS | Read 👇"
"179","2610","6","The two-time ICC World Test Championship finalists ascend to the top of the standings 👀

#WTC25 | Details 👇"
"115","1642","16","Nathan Lyon starred with a match-winning six-wicket haul in Australia's massive win in Wellington 💪

#WTC25 | #NZvAUS 📝: https://bit.ly/3T3rPYC"
"2512","43018","416","Will Tamim Iqbal return to play for Bangladesh? 

More ➡️ https://bit.ly/3V4hzlE"
"130","6868","9","Bangladesh have revamped their coaching set-up ahead of the multi-format series against Sri Lanka, beginning 4 March."
"14","870","25","Earlier this week, Canada made it to the ICC Men’s ODI Team Rankings list 👌

More on their rise in the recent years 👇"
"29","2685","12","Moments to remember for Glenn Phillips 🤩

He picked up his first five-wicket haul in Tests 👏

#WTC25 #NZvAUS"
"25","1000","3","A maiden men’s Test win in their eighth attempt ✨

How Ireland created history in Abu Dhabi 👇"
"591","10109","69","Sri Lanka make changes to their squad as Kusal Perera is ruled out of the T20Is against Bangladesh.

More ➡️ https://bit.ly/3V1Zzsb"
"62","2816","42","Against all odds 👊

#OnThisDay, in 2011, Kevin O'Brien smashed the then-fastest ICC Men's Cricket World Cup 💯 to help Ireland chase 328 against England!"
"928","15064","157","Bangladesh star discloses plan for return to international cricket 👀"
"121","5645","151","A Sanath Jayasuriya special 🤩

#Cricket #CricketReels"
"951","36670","1751","A Sanath Jayasuriya special 🤩

#OnThisDay, the southpaw's fiery 79 (76) helped Sri Lanka beat India by six wickets in the 1996 ICC Men's Cricket World Cup 🔥"
"113","3717","31","The ICC Men’s Cricket World Cup League 2 Standings are getting interesting 👀

Full table ➡️ https://bit.ly/3wCSa8J"
"237","17669","475","Powerful ball-striking from Sachin Tendulkar 💥

#Cricket #CricketReels"
"29","1394","14","Simply iconic from Andy Bichel 👏

#Cricket #CricketReels"
"145","6863","146","🔥 7/20
💥 34* (36)

#OnThisDay, Andy Bichel helped Australia beat England with his all-round performance in the 2003 ICC Cricket World Cup 🤩"
"2085","39866","661","Nepal cruise to a win against the Netherlands in the tri-series  💪

📸 @cricketnep|#NEDvNEP 📝: https://bit.ly/3P5tBY7"
"697","20873","85","Nepal bowl out Netherlands for a modest total 💪

Can they chase this down?

#NEPvNED 📝 https://bit.ly/4bQo8OG"
"52","4015","34","Glenn Phillips becomes the first New Zealand spinner since 2008 to take a five-wicket haul in Tests at home 🌟

#WTC25 | #NZvAUS 📝: https://bit.ly/3wzbIul"
"78","4214","26","An unbeaten half-century stand for the fourth wicket has kept New Zealand fighting in the chase.

#WTC25 | #NZvAUS 📝: https://www.icc-cricket.com/matches/230063/new-zealand-vs-australia"
"68","1527","11","Andrew Balbirnie hopes Ireland's first victory in Test cricket serves as an inspiration for the next generation 👊

More 👉 https://bit.ly/49vgjMO

#AFGvIRE"
"448","17620","36","🔸 Rashid Khan, Mujeeb ur Rahman continue their recovery
🔸 Star from #U19WorldCup bolsters spin department

More from Afghanistan's ODI squad 👉 https://bit.ly/3T2Uz3M

#AFGvIRE"
"16","732","3","ICYMI, Sri Lanka handed a T20I recall to their wicketkeeper-batter after three years 😯

#BANvSL"
"10","887","12","Mark Adair recorded the best match figures by an Ireland bowler in Test cricket 🌟

More on Ireland's maiden Test win 👉 https://bit.ly/3T39ivN

#AFGvIRE"
"88","2061","29","Australia’s Nathan Lyon surpassed Courtney Walsh to claim the No.7 spot in the all-time Test wicket-takers list 💫

#WTC25 | #NZvAUS"
"23","1083","1","Josh Hazlewood's guide to Test match batting after a crucial partnership in Wellington 😄

More 👉 https://bit.ly/432bsQH

#NZvAUS | #WTC25"
"109","4123","13","""It's a lot bigger than cricket"" 💬

Skipper Andrew Balbirnie hopes Ireland's first-ever Test victory will inspire the next generation back home 💪

#AFGvIRE"
"864","41397","300","Venue for the fifth and final #INDvENG Test 😍

#WTC25"
"178","3081","6","Afghanistan will be without two key players, but have bolstered their squad with a rookie spinner for the ODI series against Ireland 👀

#AFGvIRE"
"282","7427","69","A historic moment for Irish cricket as they claimed their first-ever Test victory, beating Afghanistan by six wickets in Abu Dhabi ☘👏

Details 👉 https://bit.ly/3uRzsto"
"51","1044","14","Sophie Ecclestone's 🔥 3/7 bowled West Indies out for 97, setting up a 46-run win for England in the 2020 #T20WorldCup."
"99","2895","15","Pargat Singh’s batting brilliance powered Canada to a comfortable win over Scotland in #CWCL2 💪

#CANvSCO 📝 https://bit.ly/42XHgpQ"
"100","1088","4","Sri Lanka make a late change to their squad for the #BANvSL T20Is 👀"
"111","1294","11","A day to remember for Ireland cricket ⭐"
"643","15220","87","A historic win for ☘️

Skipper Andrew Balbirnie’s fighting knock guides Ireland to their first victory in Test cricket 🎉

#AFGvIRE 📝: https://bit.ly/3T0DJCJ"
"76","1399","16","Former India head coach Ravi Shastri has offered some sound advice to Shreyas Iyer and Ishan Kishan after central contract snub.

More ➡️ https://bit.ly/49wu5yP"
"26","911","2","Scotland set Canada a target of 216 in the Cricket World Cup League 2 match.

Watch #CANvSCO LIVE and FREE on ICC.TV (in select regions) 📺

📝: https://bit.ly/48Do95U"
"178","3100","12","Ireland are within touching distance of a historic win.

#AFGvIRE 📝: https://bit.ly/3wvJPDs"
"1334","29954","317","Nepal overcome Namibia’s fightback to secure a close win 👏

#NEPvNAM 📝 https://bit.ly/48AKyAK"
"166","2782","7","Another fantastic session for Ireland ✨

#AFGvIRE 📝: https://bit.ly/3uZL4KH"
"58","1725","12","A memorable day for Cameron Green and Josh Hazlewood following their massive partnership against New Zealand 🔥

More ➡️ https://bit.ly/49zfHFQ"
"637","71538","1097","Sachin Tendulkar goes big against Shoaib Akhtar 🔥

#Reels #cricket #cricketreels"
"28","485","3","Match 2 of the ICC Cricket World Cup League 2 Dubai leg begins soon 🏏

Watch #CANvSCO LIVE and FREE on ICC.TV (in select regions) 📺

📝: https://bit.ly/4bTSUX5"
"51","1539","18","Australia’s near-perfect day marred by loss of early wickets.

#WTC25 | #NZvAUS 📝: https://bit.ly/49Y3nyZ"
"84","2312","12","A terrific bowling performance from Australia helps them gain a huge first-innings lead 🔥

#WTC25 | #NZvAUS 📝: https://bit.ly/49vxuOg"
"24","1088","4","Immaculate timing from Alice Capsey 🏏

#cricket #cricketreels"
"41","2485","7","A host of changes to India's squad for the fifth and final Test against England in Dharamsala 👀

#INDvENG | #WTC25"
"560","47767","1274","Sachin Tendulkar at his brilliant best 😲

The India great flays the Pakistan attack to all parts of the ground during his superb 98 at the 2003 edition of the ICC Cricket World Cup 💥"
"22","1096","9","Records fall on an historic day for Cameron Green and Australia 😲

#NZvAUS | #WTC25"
"126","3172","54","An innings of pure class from the Australia all-rounder as he registers his highest Test score 🙌

#NZvAUS | #WTC25

More 👉 https://www.icc-cricket.com/tournaments/world-test-championship/news/cameron-green-credits-teammate-for-crucial-knock-in-wellington-test"
"29","4499","30","Akeal Hosein in full flight 🔥

#cricket #cricketreels"
"29","8338","54","Akeal Hosein in full flight 🔥

#cricket #cricketreels"
"41","623","3","Centurion Cameron Green was all praise for the support he got from Mitchell Marsh on day one of the #NZvAUS Wellington Test 💪

More 👉 https://bit.ly/49QYrM1

#WTC25"
"749","35325","98","Maiden international five-wicket haul for Zia Ur Rahman in just his second Test 👏

#IREvAFG | 📸: Afghanistan Cricket"
"277","6874","26","Jasprit Bumrah returns ✅ 
KL Rahul ruled out ❌

India have updated their squad for the final #INDvENG Test 👉 https://bit.ly/3UYStoh"
"61","3441","59","Take a leap on Leap Day with the iconic David Warner leap! 😍

#reels #cricket #cricketreels #LeapDay #leapday2024"
"260","13510","37","An enthralling contest in the making as Afghanistan fight back on day two 👀

📸: Afghanistan Cricket Board 

#AFGvIRE 📝: https://bit.ly/4bWAXXN"
"13","394","1","A crucial partnership played a big role in Cameron Green's second Test century in Wellington 👊

#NZvAUS | #WTC25"
"1636","132972","3336","Shoaib Akhtar breaking the 100 mph barrier 💨

#cricket #cricketreels"
"12","613","10","Good news for Kuwait and Tanzania following impressive performances at the ICC Cricket World Cup Challenge League Play-off 2024 🙌

Details 👇"
"32","588","2","Shreyas Iyer and Ishan Kishan received backing from former India coach Ravi Shastri 💬

Check out what he said 👇

"
"129","6252","31","Netherlands secure their second win of the tri-series with victory over Namibia 🔥

#NEDvNAM | 📷: @CricketNep"
"25","676","3","JUST IN: Wicket-keeper batter ruled out as BCCI reveals India squad for the fifth and final #INDvENG Test in Dharamsala 👀

#WTC25 | Details 👇"
"119","1885","15","A massive 💯 from Michael Levitt!

He records the highest score by a 🇳🇱 batter in Men’s T20Is.

#NEDvNAM | 📷: @cricketnep"
"52","3747","16","Retirement one day, sub fielder the next for Neil Wagner 🙌

#NZvAUS | #WTC25"
"85","3212","24","A 💯 under pressure!

A brilliant century from Cameron Green 👏

#NZvAUS | #WTC25"
"139","3500","26","Cameron Green's second Test ton puts Australia in the driver's seat 💪

#NZvAUS | #WTC25 | 📝: https://bit.ly/49DKIsA"
"86","3755","114","A memorable triumph for Kenya! 🤩

The African side registered their first-ever ODI victory with a win over West Indies at the 1996 ICC Cricket World Cup 👏"
"53","703","3","💥 Joe Root closes in on top spot
😲 New career-high rating for Yashasvi Jaiswal
🙌 Bernard Scholtz creates history for Namibia

All the changes on the latest update of the ICC Men's Player Rankings 👀"
"23","1836","10","Pinpoint accuracy from Mark Adair 🎯

#cricket #cricketreels"
"46","933","3","Shreyas Iyer and Ishan Kishan miss out as India announce their annual player retainership.

Details 👇"
"22","3441","17","Exceptional batting from Colin Munro 👏

#cricket #cricketreels"
"178","2616","26","One eye on June's #T20World Cup 🤔
 
Sri Lanka have named a 17-player squad for next month's T20I series against Bangladesh.

Details 👉 https://www.icc-cricket.com/news/sri-lanka-name-acting-captain-for-bangladesh-t20i-series"
"74","1540","11","Another chapter in the rivalry between New Zealand and Australia for the Trans-Tasman Trophy will be written 🇳🇿 🇦🇺

#WTC25 | #NZvAUS"
"93","4452","14","Prep mode 🔛 🇳🇿 

#WTC25 | #NZvAUS"
"244","10813","76","Joe Root makes significant gains in the latest ICC Men's Test Rankings for Batters after Ranchi 💯

Read on 🔗: https://bit.ly/49RC8WF"
"231","4148","31","Young talent rewarded in India’s latest annual contracts list for 2023-24 🌟

More ➡️ https://bit.ly/3UZuwx4"
"24","1007","11","Lizelle Lee – South Africa’s first #T20WorldCup centurion 💥

#Cricket #CricketReels"
"41","903","7","Lizelle Lee goes berserk 💥

#OnThisDay in 2020, she became the first player – male or female – to score a #T20WorldCup century for South Africa 💯"
"67","2070","19","No surprises in Australia’s playing XI for the first #NZvAUS Test in Wellington.

Details ➡️ https://bit.ly/4bQZSMv

#WTC25"
"88","2665","22","Nicholas Kirton's fighting 68* guides Canada to a win in their opening #CWCL2 encounter against UAE 👏

Catch all the ICC Men's Cricket World Cup League 2 action live on https://bit.ly/49mQj6h 📺

#UAEvCAN 📝: https://bit.ly/49xxqNV"
"177","2110","13","Zia Ur Rehman's late strikes lift Afghanistan in the final session at the Tolerance Oval 👌

#AFGvIRE 📝: https://bit.ly/3IAVaFn"
"105","1885","11","New skipper to lead Sri Lanka for the first two T20Is against Bangladesh 👀

Details 👇

#BANvSL

"
"68","1765","5","Major changes as India announce annual player retainership 2023-24.

Details 👇"
"50","2276","10","First five-wicket haul for Mark Adair in Tests 🔥

#AFGvIRE 📝: https://bit.ly/3TeFKMX"
"64","1748","3","UAE restricted to 194 by Canada in the ICC Men’s CWC League 2 match 👀

Watch #UAEvCAN LIVE and FREE on ICC.TV (in select regions) 📺

📝: https://bit.ly/4bQVVHD"
"316","182934","1548","A masterclass in swing bowling from Renuka Singh 💥"
"414","7401","26","The Netherlands clinch a final ball thriller against Nepal 🔥

#NEPvNED | 📝: https://bit.ly/49OqKuL"
"234","15054","16","Ibrahim Zadran looks to stabilize Afghanistan after loss of early wickets.

#AFGvIRE 📝: https://bit.ly/49uibpf"
"20","817","8","India and England stars rise in the latest ICC Test Player Rankings 📈"
"376","27319","626","An epic finale at Eden Park 😱

#cricket #cricketreels"
"35","861","6","ICC Cricket World Cup League 2 resumes in Dubai 💥

Watch #UAEvCAN live and FREE on ICC.TV (in select regions) 📺"
"147","14979","268","An epic finale at Eden Park 😲

Relive this thrilling finish between New Zealand and Australia from 2015 ICC Cricket World Cup 👀"
"31","3663","13","Power and precision from Jan Nicol Loftie-Eaton 💥

#cricket #cricketreels"
"30","1080","6","From Mohammed Shami to Virat Kohli and Suryakumar Yadav, we look at when India's white-ball stars are set to return to action ahead of June's #T20WorldCup 👀"
"18","2138","18","Pure class from Renuka Singh 🙌

#cricket #cricketreels"
"43","2716","7","Skipper Pat Cummins has revealed Australia's playing XI for the first #WTC25 Test against New Zealand 👀

Details 👇"
"12","650","4","Five memorable moments that confirm Neil Wagner's place among the best fast bowlers ever from New Zealand 💪"
"47","1102","7","A century in just 33 deliveries 😱"
"4","702","3","A big loss for New Zealand on the eve of their crucial #WTC25 clash against Australia.

Details 👇"
"618","27644","662","162* (66) 🤯

Throwback to when AB de Villiers went berserk against West Indies 💥"
"291","18993","169","An emotional Neil Wagner bids goodbye to international cricket, marking the end of an illustrious 12-year Test career.

More ➡️ https://bit.ly/3TdZ2C8"
"70","1473","9","Australia women named their squad for the first-ever bilateral tour of Bangladesh 👊

More ➡️ https://bit.ly/3P0dew9"
